FILE,ISSUES,BUGS,SUPPORT_BUGS,P1,P2,P3,P4,MAX_COMPLEXITY,HAL_VOLUME,COVERAGE,LINES,LINES_COVERED
"1ff9930e625a56a38392a39807c87dc1b08145345bf9858f532f3ebe.py",10,4,1,0,4,0,0,8,316.09556827246695,0.2617,107,28
"23ad750c200a6ec438e0c86660db71780793f0259da7072559ee574d.py",10,4,1,0,4,0,0,1,0,1.0,80,80
"e8b428f68cdb72ce7b257f966238916a41fb9a952ec8dd86f0f0ed96.py",27,12,8,1,6,3,2,198,18028.305156026137,0.4814,1824,878
"a0534eabf9f83cb8880dd0c22bfe5acef4fe03a4c6caee1cc3f04217.py",13,9,4,0,5,4,0,15,785.675277357781,0.8167,300,245
"d6b8dad150ceaf1b2289fd8394d28030df702938bd686a3c098cbede.py",5,2,1,1,1,0,0,2,0,0.09091,44,4
"f0a73c8722e5e31c410c542a50db0490c7b687403cd1f3df5b65c753.py",13,0,0,0,0,0,0,1,0,0.9902,102,101
"e336b94e14ecc614a71de773d64cbd59f8b43ee2caa720676df211a9.py",1,0,0,0,0,0,0,-1,-1,1.0,1,1
"805dcafba4bc8aad354610981c7afc39cbaaf04cf93b8011c5301b80.py",1,0,0,0,0,0,0,-1,-1,1.0,0,0
"ecc17c4c365c6e0c25eae037bc91d9e18c57657b47b5da3060073b1d.py",1,0,0,0,0,0,0,-1,-1,0.0,11,0
"67a35f1f03f1f6dce462e99cf6f472e55bac3589cff8e03b296fbc29.py",1,0,0,0,0,0,0,-1,-1,1.0,0,0
"b4177d7c6e8db9651c2f50aa645edfffe708049b30cc1afc6218a1e1.py",1,0,0,0,0,0,0,-1,-1,0.3878,49,19
"39fed2f7afb499446dc7f0829e52c59462894a9bcec1ec6cafb93af2.py",1,0,0,0,0,0,0,-1,-1,1.0,21,21
"439407e0034aff0422d57c53c4d1c5ba189aee7fe8e78e31a58ac73b.py",5,1,0,0,1,0,0,14,216.33097149259217,0.7805,82,64
"cd148c572fd742c146208027bcd01a8b33d9cab892a1471956dbd5d6.py",20,14,7,0,8,6,0,48,2990.5545828063096,0.5374,575,309
"07c1eab2da14d96ee7b65bf7a30f34523600f7d7204a2ad638bde962.py",15,9,6,0,2,4,3,5,395.06993328423073,0.75,188,141
"149c056e811c3dbd14d864e55d8d602e675e5ec662c1abe7bc36d9e9.py",2,1,0,0,1,0,0,27,956.2559147020388,0.343,242,83
"e1553d89ff886e1990136f9e824ca069b24bdd767e19d287d2035d32.py",3,3,3,0,2,0,1,6,274.00602507644254,0.0,71,0
